pitches,player_id,player_name,total_pitches,pitch_percent,ba,iso,babip,slg,woba,xwoba,xba,hits,abs,launch_speed,launch_angle,spin_rate,velocity,effective_speed,whiffs,swings,takes,eff_min_vel,release_extension,pos3_int_start_distance,pos4_int_start_distance,pos5_int_start_distance,pos6_int_start_distance,pos7_int_start_distance,pos8_int_start_distance,pos9_int_start_distance
50,453343,"Melancon, Mark",364,13.7,0.536,0.179,0.609,0.714,0.544,0.409,0.386,15,28,95.4,-0.5,2589,81.6,81.06,11,50,0,-0.5,6.2,106,144,119,143,302,322,296
50,608723,"Voth, Austin",499,10,0.409,0.182,0.5,0.591,0.433,0.358,0.357,9,22,83.7,15.2,3024,77.9,77.02,11,50,0,-0.9,6.04,110,154,121,145,297,317,296
50,656629,"Kopech, Michael",949,5.3,0.091,0.045,0.118,0.136,0.098,0.283,0.234,2,22,89.1,20.9,2414,78.6,76.81,14,50,0,-1.8,6.37,113,151,111,149,297,326,299
50,605507,"Thompson, Zach",941,5.3,0.179,0.143,0.235,0.321,0.214,0.201,0.17,5,28,86.3,13.6,2276,77.8,77.5,18,50,0,-0.3,6.04,106,150,120,149,306,325,302
50,650893,"Cabrera, Génesis",491,10.2,0.074,0.074,0.1,0.148,0.094,0.193,0.197,2,27,86.4,3.7,2390,79.3,78.84,15,50,0,-0.5,6.08,113,154,118,148,295,322,296
49,669169,"Heasley, Jonathan",715,6.9,0.192,0.038,0.263,0.231,0.178,0.283,0.273,5,26,92.1,6.6,2647,79.4,78.76,15,49,0,-0.6,6,106,160,120,149,301,324,305
49,573204,"Thielbar, Caleb",460,10.7,0.25,0.036,0.35,0.286,0.235,0.251,0.226,7,28,79.4,2.8,2429,73,72.58,13,49,0,-0.4,6.3,105,150,117,145,298,328,289
48,592717,"Sanchez, Aaron",532,9,0.357,0.321,0.333,0.679,0.441,0.439,0.368,10,28,92.3,20.4,2583,78.7,79.2,13,48,0,0.5,6.77,115,157,124,143,304,319,295
48,664353,"Urquidy, José",1113,4.3,0.379,0.241,0.455,0.621,0.429,0.291,0.254,11,29,89.8,6.8,2611,77.8,76.74,11,48,0,-1.1,5.85,116,157,121,150,292,322,292
47,669373,"Skubal, Tarik",1265,3.7,0.348,0.261,0.467,0.609,0.407,0.313,0.28,8,23,88.7,15.1,2216,76.8,76.54,16,47,0,-0.3,6.19,110,153,116,147,305,327,291
46,656605,"Keller, Mitch",1049,4.4,0.208,0.083,0.278,0.292,0.216,0.305,0.263,5,24,90.9,5.8,2558,79.9,79.49,10,46,0,-0.4,6.32,111,155,123,151,307,327,309
46,605288,"Houser, Adrian",1209,3.8,0.318,0.091,0.333,0.409,0.302,0.433,0.408,7,22,96.2,9.2,1990,81.2,81.15,5,46,0,0,6.47,113,152,122,148,295,319,297
46,543475,"Lyles, Jordan",1321,3.5,0.174,0,0.222,0.174,0.142,0.225,0.201,4,23,93.9,6.6,2281,79.6,79.7,8,46,0,0.1,6.63,108,154,115,149,298,320,293
45,543037,"Cole, Gerrit",1302,3.5,0.412,0.118,0.467,0.529,0.409,0.401,0.359,7,17,93.6,0.9,2816,82.8,82.35,14,45,0,-0.4,6.24,111,157,125,153,294,326,289
45,608349,"Knebel, Corey",507,8.9,0.261,0.13,0.353,0.391,0.28,0.22,0.221,6,23,83.1,2.8,2706,78.5,78.2,15,45,0,-0.3,6.51,113,150,119,142,295,324,295
45,475479,"Phelps, David",484,9.3,0.318,0.091,0.368,0.409,0.316,0.418,0.401,7,22,94.2,0.7,2559,81.1,79.39,8,45,0,-1.7,5.17,105,156,123,147,297,317,297
44,670280,"Bednar, David",507,8.7,0.059,0,0.1,0.059,0.052,0.125,0.123,1,17,86.2,26.8,2462,77.7,77.34,17,44,0,-0.4,6.14,108,149,117,148,306,324,303
44,669060,"Wilson, Bryse",625,7,0.19,0.238,0.2,0.429,0.261,0.298,0.237,4,21,85,16.4,2295,77.2,77.55,12,44,0,0.4,6.62,106,151,120,149,307,326,303
43,592826,"Velasquez, Vince",727,5.9,0.294,0.059,0.357,0.353,0.283,0.37,0.355,5,17,92.3,8.8,2376,81.5,81.77,11,43,0,0.3,6.5,110,148,107,148,300,325,303
43,592858,"Wick, Rowan",504,8.5,0.313,0.063,0.385,0.375,0.283,0.283,0.23,5,16,84.5,7.3,2558,76.9,76.61,15,43,0,-0.3,6.56,111,150,118,155,294,320,296
42,669276,"Lee, Dylan",181,23.2,0.167,0.167,0.167,0.333,0.213,0.351,0.301,3,18,85.8,14.8,2093,83,83.68,20,42,0,0.7,6.5,110,154,131,145,299,332,304
42,489334,"Stammen, Craig",465,9,0.35,0.45,0.364,0.8,0.487,0.309,0.229,7,20,84.3,17.1,2347,80.3,80.68,13,42,0,0.4,6.76,115,158,123,151,290,314,296
42,477132,"Kershaw, Clayton",640,6.6,0.24,0.04,0.375,0.28,0.228,0.238,0.239,6,25,86.9,2.5,2401,73.3,72.95,16,42,0,-0.3,6.23,104,154,119,146,297,309,288
42,670950,"Richards, Trevor",511,8.2,0.45,0.3,0.5,0.75,0.49,0.515,0.441,9,20,90,6.6,2122,84.4,84.52,17,42,0,0.1,6.32,103,152,121,146,301,322,295
41,663485,"Sands, Cole",338,12.1,0.316,0.263,0.385,0.579,0.382,0.188,0.165,6,19,85.9,12.6,2798,78.7,77.03,14,41,0,-1.7,5.2,110,154,121,149,296,329,289
41,641712,"Hudson, Dakota",1216,3.4,0.238,0.048,0.313,0.286,0.229,0.288,0.269,5,21,89.7,7.5,2384,81.3,81.19,10,41,0,-0.1,6.2,111,156,116,148,295,324,302
41,623451,"Stephens, Jackson",415,9.9,0.118,0.059,0.154,0.176,0.126,0.117,0.111,2,17,79,9.5,2961,76.5,75.31,12,41,0,-1.2,5.69,111,151,126,148,305,328,297
40,668676,"Plesac, Zach",1148,3.5,0.273,0.318,0.235,0.591,0.366,0.333,0.264,6,22,85.6,8.1,2155,79.5,79.17,8,40,0,-0.3,6.01,111,155,122,150,292,320,298
39,623485,"Goudeau, Ashton",375,10.4,0.381,0.381,0.4,0.762,0.444,0.406,0.316,8,21,88.8,12.8,2304,77.7,77.64,13,39,0,-0.1,6.21,105,147,124,142,303,330,299
39,656730,"Megill, Trevor",187,20.9,0.167,0,0.273,0.167,0.148,0.19,0.188,3,18,95.8,17,2698,82.4,82.09,14,39,0,-0.3,6.41,112,155,119,150,296,329,290
38,605347,"López, Jorge",531,7.2,0.111,0,0.133,0.111,0.093,0.179,0.19,2,18,80.8,-7.5,2436,84.5,84.28,9,38,0,-0.2,6.18,104,150,110,147,304,319,296
38,643338,"Green, Chad",241,15.8,0.111,0,0.111,0.111,0.081,0.138,0.072,1,9,86.3,32.2,2474,84.1,84.43,12,38,0,0.3,6.61,109,153,119,148,300,329,288
37,660271,"Ohtani, Shohei",1071,3.5,0.25,0.25,0.429,0.5,0.319,0.203,0.212,4,16,88.1,11.6,2568,80.3,80.59,17,37,0,0.3,6.73,123,155,126,164,292,321,296
36,672710,"Contreras, Roansy",647,5.6,0.267,0.067,0.308,0.333,0.261,0.268,0.261,4,15,82.7,4.1,2795,79.9,79.55,8,36,0,-0.3,6.23,108,151,119,148,313,325,302
36,663460,"Bubic, Kris",679,5.3,0.286,0,0.316,0.286,0.253,0.234,0.236,6,21,81.8,-5.5,2590,79.2,79.28,6,36,0,0.1,6.39,107,155,118,147,304,322,305
35,664948,"Misiewicz, Anthony",234,15,0.263,0.211,0.333,0.474,0.313,0.311,0.262,5,19,91.4,19.2,2821,79.2,78.39,8,35,0,-0.8,5.86,118,156,124,147,285,318,291
35,605218,"Edwards Jr., Carl",337,10.4,0.077,0.231,0,0.308,0.159,0.111,0.097,1,13,81.2,17.3,2087,80,78.21,11,35,0,-1.8,6.79,109,154,121,146,306,318,294
