,pitches,player_id,player_name,total_pitches,pitch_percent,hits,whiffs,swings,takes
212,15,501985,"Minor, Mike",342,4.4,0.0,4,15,0
213,15,641907,"Murphy, Patrick",142,10.6,3.0,5,15,0
214,14,666129,"Garrett, Braxton",324,4.3,2.0,2,14,0
215,14,592662,"Ray, Robbie",1411,1.0,4.0,2,14,0
216,14,656818,"Overton, Connor",341,4.1,3.0,2,14,0
217,14,667498,"Dugger, Robert",146,9.6,2.0,4,14,0
218,13,656786,"Mushinski, Parker",107,12.1,0.0,4,13,0
219,13,669358,"Baz, Shane",202,6.4,1.0,6,13,0
220,13,543766,"Shaw, Bryan",343,3.8,1.0,3,13,0
221,13,676637,"Sanders, Phoenix",144,9.0,1.0,2,13,0
222,13,664854,"Helsley, Ryan",403,3.2,0.0,4,13,0
223,13,663738,"Lynch, Daniel",1189,1.1,3.0,2,13,0
224,13,519293,"Smith, Will",453,2.9,1.0,4,13,0
225,13,689225,"Brieske, Beau",958,1.4,4.0,2,13,0
226,13,541640,"Ramírez, Erasmo",498,2.6,0.0,7,13,0
227,13,671790,"Bolaños, Ronald",332,3.9,2.0,2,13,0
228,13,608371,"Sims, Lucas",129,10.1,0.0,2,13,0
229,12,592351,"Gray, Jon",1056,1.1,3.0,3,12,0
230,12,572703,"Bard, Luke",87,13.8,0.0,6,12,0
231,12,543521,"McHugh, Collin",458,2.6,2.0,6,12,0
232,12,592761,"Smith, Caleb",627,1.9,1.0,3,12,0
233,12,622098,"Smith, Drew",494,2.4,1.0,1,12,0
234,11,663559,"Falter, Bailey",328,3.4,2.0,2,11,0
235,11,658431,"Medina, Adonis",241,4.6,2.0,2,11,0
236,11,666159,"Manning, Matt",106,10.4,1.0,2,11,0
237,11,676710,"Crawford, Kutter",398,2.8,0.0,1,11,0
238,11,657571,"Ferguson, Caleb",94,11.7,0.0,2,11,0
239,11,649144,"Wells, Alexander",66,16.7,1.0,2,11,0
240,11,425877,"Molina, Yadier",40,27.5,5.0,0,11,0
241,11,669618,"Barlow, Joe",378,2.9,0.0,2,11,0
242,11,656457,"Gilbert, Tyler",275,4.0,4.0,2,11,0
243,11,663158,"Suarez, Robert",399,2.8,1.0,1,11,0
244,10,657006,"Steele, Justin",1122,0.9,0.0,3,10,0
245,10,663989,"Vespi, Nick",137,7.3,0.0,3,10,0
246,10,606273,"Elías, Roenis",114,8.8,2.0,3,10,0
247,10,660730,"Rodriguez, Elvin",346,2.9,2.0,2,10,0
248,10,641582,"Foster, Matt",498,2.0,0.0,2,10,0
249,10,663465,"Allard, Kolby",204,4.9,2.0,1,10,0
250,10,544365,"Bañuelos, Manny",136,7.4,0.0,5,10,0
251,10,657508,"Baumann, Mike",216,4.6,3.0,0,10,0
252,10,595191,"Eickhoff, Jerad",83,12.0,0.0,6,10,0
253,10,663546,"Hjelle, Sean",78,12.8,0.0,5,10,0
254,9,621219,"Mills, Alec",244,3.7,2.0,1,9,0
255,9,476595,"Luetge, Lucas",340,2.6,0.0,5,9,0
256,9,572383,"Moran, Brian",25,36.0,1.0,4,9,0
257,9,663554,"Mize, Casey",169,5.3,1.0,2,9,0
258,9,678061,"Kerr, Ray",49,18.4,0.0,1,9,0
259,8,642152,"Trivino, Lou",370,2.2,2.0,1,8,0
260,8,668873,"Kilian, Caleb",235,3.4,0.0,1,8,0
261,8,665152,"Kremer, Dean",322,2.5,2.0,1,8,0
262,8,543548,"Milone, Tommy",83,9.6,1.0,1,8,0
263,8,456034,"Price, David",251,3.2,0.0,1,8,0
264,8,641627,"Gott, Trevor",325,2.5,2.0,2,8,0
265,8,544931,"Strasburg, Stephen",83,9.6,2.0,2,8,0
266,8,670955,"Uceta, Edwin",139,5.8,1.0,3,8,0
267,7,681799,"Roberts, Ethan",177,4.0,2.0,1,7,0
268,7,595881,"Beede, Tyler",422,1.7,0.0,3,7,0
269,7,665645,"Castro, Kervin",47,14.9,2.0,3,7,0
270,7,543056,"Coulombe, Danny",230,3.0,0.0,2,7,0
271,7,650959,"Diplán, Marcos",122,5.7,0.0,2,7,0
272,7,640455,"Manaea, Sean",1206,0.6,1.0,3,7,0
273,7,668948,"McCarty, Kirk",116,6.0,1.0,3,7,0
274,7,607644,"Means, John",135,5.2,0.0,3,7,0
275,7,656731,"Megill, Tylor",695,1.0,1.0,1,7,0
276,7,657240,"Merryweather, Julian",286,2.4,0.0,2,7,0
277,7,656794,"Newcomb, Sean",202,3.5,2.0,1,7,0
278,7,622250,"Sborz, Josh",187,3.7,2.0,3,7,0
279,7,676194,"Tetreault, Jackson",182,3.8,3.0,2,7,0
280,6,455119,"Martin, Chris",338,1.8,0.0,1,6,0
281,6,676641,"Sulser, Beau",206,2.9,1.0,1,6,0
282,6,650556,"Abreu, Bryan",473,1.3,1.0,4,6,0
283,6,448281,"Doolittle, Sean",55,10.9,0.0,4,6,0
284,6,667725,"Tyler, Kyle",40,15.0,1.0,2,6,0
285,6,641853,"McKay, David",42,14.3,1.0,2,6,0
286,6,656876,"Rasmussen, Drew",947,0.6,2.0,0,6,0
287,6,664042,"Lakins Sr., Travis",208,2.9,1.0,1,6,0
288,6,453178,"Kennedy, Ian",432,1.4,2.0,0,6,0
289,6,615698,"Quantrill, Cal",1111,0.5,0.0,0,6,0
290,6,605182,"Clevinger, Mike",441,1.4,3.0,0,6,0
291,6,458681,"Lynn, Lance",187,3.2,0.0,2,6,0
292,6,656492,"Griffin, Foster",71,8.5,0.0,1,6,0
293,5,656232,"Bielak, Brandon",117,4.3,2.0,0,5,0
294,5,608718,"Suter, Brent",439,1.1,0.0,1,5,0
295,5,640444,"Crowe, Wil",745,0.7,2.0,1,5,0
296,5,673904,"Walsh, Jake",65,7.7,0.0,3,5,0
297,5,608665,"Graveman, Kendall",461,1.1,1.0,1,5,0
298,5,405395,"Pujols, Albert",27,18.5,2.0,0,5,0
299,5,605242,"Fulmer, Michael",386,1.3,1.0,2,5,0
300,5,488984,"Hunter, Tommy",38,13.2,0.0,2,5,0
301,4,621237,"Alvarado, José",327,1.2,0.0,3,4,0
302,4,663947,"Holton, Tyler",52,7.7,,1,4,0
303,4,641154,"López, Pablo",1289,0.3,0.0,2,4,0
304,4,676617,"O'Brien, Riley",23,17.4,0.0,1,4,0
305,4,656234,"Bird, Jake",45,8.9,0.0,2,4,0
306,4,646242,"Diaz, Jhonathan",236,1.7,0.0,0,4,0
307,4,608716,"Steckenrider, Drew",286,1.4,0.0,0,4,0
308,4,572362,"Erlin, Robbie",40,10.0,0.0,0,4,0
309,4,660593,"Reyes, Denyi",117,3.4,0.0,2,4,0
310,4,670970,"Morejon, Adrian",72,5.6,0.0,0,4,0
311,4,542881,"Anderson, Tyler",1059,0.4,,2,4,0
312,3,547001,"Poteet, Cody",400,0.8,0.0,1,3,0
313,3,666214,"Wentz, Joey",128,2.3,1.0,0,3,0
314,3,670036,"Festa, Matthew",372,0.8,1.0,1,3,0
315,3,664337,"Yajure, Miguel",199,1.5,1.0,1,3,0
316,3,572070,"Richards, Garrett",380,0.8,0.0,1,3,0
317,3,543606,"Odorizzi, Jake",496,0.6,0.0,1,3,0
318,3,644429,"Severino, Anderson",133,2.3,1.0,0,3,0
319,3,681217,"Silseth, Chase",276,1.1,1.0,0,3,0
320,3,675921,"Howard, Spencer",139,2.2,0.0,3,3,0
321,3,571976,"Myers, Wil",22,13.6,1.0,0,3,0
322,3,622786,"Tinoco, Jesus",95,3.2,0.0,1,3,0
323,3,675627,"Grove, Michael",92,3.3,,2,3,0
324,3,670329,"Garcia, Rico",41,7.3,1.0,0,3,0
325,3,670102,"Francis, Bowden",9,33.3,1.0,0,3,0
326,3,656427,"Flaherty, Jack",131,2.3,0.0,1,3,0
327,2,663455,"Pilkington, Konnor",488,0.4,,2,2,0
328,2,518813,"Holland, Greg",80,2.5,1.0,0,2,0
329,2,592390,"Hembree, Heath",301,0.7,0.0,1,2,0
330,2,596133,"Weaver, Luke",195,1.0,0.0,0,2,0
331,2,605194,"Cotton, Jharel",278,0.7,1.0,0,2,0
332,2,595939,"Ellis, Chris",83,2.4,1.0,0,2,0
333,2,666205,"Muller, Kyle",74,2.7,1.0,1,2,0
334,2,642121,"Sulser, Cole",405,0.5,0.0,0,2,0
335,2,668820,"Kranick, Max",76,2.6,0.0,2,2,0
336,2,596057,"Norris, Daniel",520,0.4,,0,2,0
337,2,673316,"Barker, Luke",54,3.7,1.0,0,2,0
338,2,571901,"Loup, Aaron",431,0.5,0.0,0,2,0
339,2,592743,"Simmons, Andrelton",25,8.0,2.0,0,2,0
340,2,656008,"Zabala, Aneurys",9,22.2,0.0,2,2,0
341,2,605525,"Wendelken, J.B.",424,0.5,,0,2,0
342,1,669211,"Akin, Keegan",611,0.2,,0,1,0
343,1,548384,"Raley, Brooks",343,0.3,0.0,0,1,0
344,1,660906,"Perez, Francisco",196,0.5,,0,1,0
345,1,668665,"Nogosek, Stephen",204,0.5,0.0,0,1,0
346,1,669212,"Morgan, Eli",486,0.2,,0,1,0
347,1,668338,"Miller, Tyson",74,1.4,1.0,0,1,0
348,1,489119,"Miley, Wade",271,0.4,0.0,0,1,0
349,1,596043,"Mengden, Daniel",30,3.3,,0,1,0
350,1,669214,"Menez, Conner",24,4.2,,0,1,0
351,1,608686,"Mayfield, Jack",13,7.7,0.0,0,1,0
352,1,596112,"Stephenson, Robert",357,0.3,,0,1,0
353,1,596271,"Lawrence, Casey",112,0.9,1.0,0,1,0
354,1,669424,"Lambert, Jimmy",266,0.4,,1,1,0
355,1,663804,"Kowar, Jackson",71,1.4,1.0,0,1,0
356,1,643400,"Knight, Dusten",102,1.0,0.0,1,1,0
357,1,663378,"Szapucki, Thomas",49,2.0,0.0,1,1,0
358,1,670046,"Rosenberg, Kenny",193,0.5,,1,1,0
359,1,543281,"Harrison, Josh",20,5.0,,1,1,0
360,1,668684,"Tully, Tanner",38,2.6,,1,1,0
361,1,545341,"Grichuk, Randal",10,10.0,0.0,0,1,0
362,1,656354,"Davis, Austin",496,0.2,,0,1,0
363,1,605156,"Brooks, Aaron",154,0.6,,0,1,0
364,1,669854,"Blanco, Ronel",120,0.8,,1,1,0
365,1,658648,"Avila, Pedro",70,1.4,0.0,0,1,0
366,1,663765,"Woodford, Jake",293,0.3,0.0,0,1,0
367,1,663531,"Allen, Logan",164,0.6,,0,1,0
368,1,645261,"Alcantara, Sandy",1426,0.1,0.0,0,1,0
