,pitches,player_id,player_name,total_pitches,pitch_percent,hits,whiffs,swings,takes
164,133,641582,"Foster, Matt",512,26.0,14.0,31,133,0
165,133,543294,"Hendricks, Kyle",1184,11.2,17.0,23,133,0
166,132,543521,"McHugh, Collin",497,26.6,16.0,33,132,0
167,132,445926,"Chavez, Jesse",497,26.6,12.0,41,132,0
168,131,518886,"Kimbrel, Craig",456,28.7,17.0,36,131,0
169,130,614179,"Ruiz, José",561,23.2,14.0,38,130,0
170,130,664854,"Helsley, Ryan",439,29.6,4.0,38,130,0
171,129,571578,"Corbin, Patrick",1293,10.0,25.0,16,129,0
172,129,605218,"Edwards Jr., Carl",397,32.5,8.0,31,129,0
173,129,456713,"Bush, Matt",414,31.2,17.0,40,129,0
174,128,605154,"Brebbia, John",508,25.2,7.0,30,128,0
175,128,621295,"Wittgren, Nick",481,26.6,20.0,24,128,0
176,127,667427,"Jackson, Zach",557,22.8,8.0,31,127,0
177,127,665152,"Kremer, Dean",322,39.4,13.0,32,127,0
178,127,681911,"Vesia, Alex",416,30.5,13.0,41,127,0
179,127,592773,"Stanek, Ryne",383,33.2,6.0,39,127,0
180,124,641360,"Bickford, Phil",356,34.8,13.0,28,124,0
181,124,518489,"Brasier, Ryan",417,29.7,16.0,26,124,0
182,123,622098,"Smith, Drew",523,23.5,8.0,33,123,0
183,123,664208,"Maton, Phil",539,22.8,13.0,31,123,0
184,122,624133,"Suárez, Ranger",1266,9.6,19.0,22,122,0
185,121,605447,"Romano, Jordan",426,28.4,10.0,30,121,0
186,120,475479,"Phelps, David",511,23.5,12.0,27,120,0
187,120,606160,"Montero, Rafael",471,25.5,7.0,38,120,0
188,120,656458,"Gilbreath, Lucas",372,32.3,14.0,28,120,0
189,119,608717,"Stratton, Chris",553,21.5,20.0,30,119,0
190,118,656222,"Beeks, Jalen",501,23.6,8.0,38,118,0
191,118,548389,"Stripling, Ross",853,13.8,11.0,26,118,0
192,118,676194,"Tetreault, Jackson",281,42.0,16.0,21,118,0
193,118,660761,"Suarez, José",591,20.0,17.0,27,118,0
194,117,502179,"Espino, Paolo",625,18.7,17.0,14,117,0
195,117,643511,"Rogers, Tyler",517,22.6,19.0,14,117,0
196,117,455119,"Martin, Chris",354,33.1,12.0,30,117,0
197,117,592789,"Syndergaard, Noah",974,12.0,17.0,23,117,0
198,116,543238,"Gose, Anthony",347,33.4,11.0,27,116,0
199,116,596112,"Stephenson, Robert",370,31.4,19.0,16,116,0
200,116,621051,"Wilson, Steven",432,26.9,12.0,36,116,0
201,115,519043,"Moore, Matt",586,19.6,6.0,30,115,0
202,115,621383,"Banks, Tanner",536,21.5,9.0,25,115,0
203,114,476595,"Luetge, Lucas",365,31.2,19.0,22,114,0
204,114,656970,"Smeltzer, Devin",678,16.8,15.0,16,114,0
205,114,663986,"Stephan, Trevor",449,25.4,16.0,27,114,0
206,113,593576,"Neris, Héctor",490,23.1,8.0,32,113,0
207,113,623149,"Sewald, Paul",401,28.2,7.0,27,113,0
208,113,456501,"Cueto, Johnny",722,15.7,12.0,19,113,0
209,113,622251,"Staumont, Josh",488,23.2,7.0,36,113,0
210,112,676684,"Vest, Will",440,25.5,8.0,23,112,0
211,112,592761,"Smith, Caleb",627,17.9,14.0,22,112,0
212,111,594835,"Gonzales, Marco",1312,8.5,16.0,13,111,0
213,110,571901,"Loup, Aaron",469,23.5,8.0,45,110,0
214,109,571710,"Givens, Mychal",505,21.6,14.0,27,109,0
215,109,641627,"Gott, Trevor",343,31.8,9.0,41,109,0
216,108,477132,"Kershaw, Clayton",640,16.9,9.0,11,108,0
217,108,642121,"Sulser, Cole",405,26.7,8.0,28,108,0
218,108,642397,"Soto, Gregory",498,21.7,10.0,32,108,0
219,108,650556,"Abreu, Bryan",476,22.7,11.0,25,108,0
220,107,669674,"Long, Sam",440,24.3,14.0,18,107,0
221,106,606149,"Gallegos, Giovanny",467,22.7,9.0,24,106,0
222,106,666808,"Doval, Camilo",515,20.6,14.0,20,106,0
223,105,656756,"Montgomery, Jordan",1216,8.6,15.0,19,105,0
224,105,642130,"Taylor, Blake",305,34.4,12.0,17,105,0
225,104,608716,"Steckenrider, Drew",286,36.4,12.0,21,104,0
226,104,595881,"Beede, Tyler",443,23.5,22.0,8,104,0
227,104,621074,"Rucker, Michael",342,30.4,9.0,26,104,0
228,104,592767,"Smyly, Drew",716,14.5,15.0,19,104,0
229,103,669060,"Wilson, Bryse",625,16.5,16.0,29,103,0
230,103,672335,"Pérez, Cionel",372,27.7,11.0,30,103,0
231,103,592741,"Shreve, Chasen",451,22.8,12.0,22,103,0
232,102,663978,"Paddack, Chris",367,27.8,10.0,23,102,0
233,102,642207,"Williams, Devin",509,20.0,3.0,36,102,0
234,102,656557,"Houck, Tanner",734,13.9,14.0,19,102,0
235,102,660813,"Graterol, Brusdar",465,21.9,10.0,20,102,0
236,102,501381,"Pineda, Michael",324,31.5,13.0,14,102,0
237,101,663574,"Santillan, Tony",408,24.8,14.0,21,101,0
238,101,682171,"Murfee, Penn",411,24.6,7.0,17,101,0
239,101,657024,"Swanson, Erik",326,31.0,5.0,34,101,0
240,101,543339,"Hudson, Daniel",406,24.9,9.0,29,101,0
241,100,608328,"De Jong, Chase",450,22.2,9.0,10,100,0
242,100,663485,"Sands, Cole",338,29.6,12.0,23,100,0
243,100,641447,"Castano, Daniel",331,30.2,13.0,17,100,0
244,99,672578,"Hernández, Carlos",545,18.2,19.0,17,99,0
245,99,642758,"Acevedo, Domingo",499,19.8,15.0,17,99,0
246,99,623485,"Goudeau, Ashton",375,26.4,13.0,19,99,0
247,98,643338,"Green, Chad",241,40.7,12.0,25,98,0
248,97,554340,"Garcia, Yimi",437,22.2,5.0,29,97,0
249,96,662253,"Muñoz, Andrés",483,19.9,16.0,21,96,0
250,96,643377,"Jax, Griffin",558,17.2,8.0,23,96,0
251,96,656657,"Logue, Zach",449,21.4,14.0,19,96,0
252,96,621242,"Díaz, Edwin",491,19.6,11.0,32,96,0
253,96,518617,"Diekman, Jake",508,18.9,10.0,29,96,0
254,94,605288,"Houser, Adrian",1311,7.2,12.0,20,94,0
255,94,656354,"Davis, Austin",514,18.3,10.0,27,94,0
256,94,663559,"Falter, Bailey",328,28.7,12.0,15,94,0
257,94,669952,"White, Mitch",488,19.3,12.0,11,94,0
258,94,502202,"Boxberger, Brad",417,22.5,10.0,19,94,0
259,93,519293,"Smith, Will",478,19.5,14.0,10,93,0
260,93,547943,"Ryu, Hyun Jin",395,23.5,18.0,9,93,0
261,93,607216,"Krehbiel, Joey",429,21.7,11.0,18,93,0
262,93,542888,"Armstrong, Shawn",304,30.6,9.0,35,93,0
263,93,656803,"Norwood, James",370,25.1,12.0,17,93,0
264,92,605525,"Wendelken, J.B.",467,19.7,8.0,21,92,0
265,92,605182,"Clevinger, Mike",441,20.9,10.0,17,92,0
266,91,622554,"Domínguez, Seranthony",426,21.4,8.0,31,91,0
267,91,657240,"Merryweather, Julian",286,31.8,18.0,14,91,0
268,91,608648,"Duffey, Tyler",490,18.6,12.0,22,91,0
269,90,622491,"Castillo, Luis",891,10.1,5.0,37,90,0
270,90,680739,"Winder, Josh",473,19.0,14.0,13,90,0
271,90,641726,"Jefferies, Daulton",611,14.7,15.0,22,90,0
272,90,670950,"Richards, Trevor",511,17.6,14.0,14,90,0
273,90,592094,"Adam, Jason",452,19.9,5.0,29,90,0
274,88,656529,"Hentges, Sam",391,22.5,11.0,25,88,0
275,88,571800,"Hutchison, Drew",392,22.4,9.0,13,88,0
276,88,617228,"Sawamura, Hirokazu",385,22.9,13.0,10,88,0
277,87,502085,"Robertson, David",461,18.9,10.0,19,87,0
278,86,545343,"Head, Louis",447,19.2,15.0,10,86,0
279,86,501985,"Minor, Mike",438,19.6,16.0,12,86,0
280,86,656420,"Feyereisen, J.P.",344,25.0,2.0,28,86,0
281,86,657248,"Otto, Glenn",771,11.2,9.0,20,86,0
282,86,543243,"Gray, Sonny",761,11.3,14.0,14,86,0
283,85,571479,"Bellatti, Andrew",417,20.4,6.0,24,85,0
284,85,570663,"Robles, Hansel",371,22.9,9.0,25,85,0
285,84,592804,"Thornburg, Tyler",314,26.8,8.0,18,84,0
286,83,650893,"Cabrera, Génesis",491,16.9,10.0,14,83,0
287,83,642232,"Yarbrough, Ryan",495,16.8,12.0,18,83,0
288,83,641755,"Kinley, Tyler",376,22.1,11.0,9,83,0
289,83,596057,"Norris, Daniel",520,16.0,12.0,14,83,0
290,83,642152,"Trivino, Lou",421,19.7,9.0,23,83,0
291,83,677865,"Bruihl, Justin",238,34.9,9.0,22,83,0
292,82,458681,"Lynn, Lance",296,27.7,8.0,31,82,0
293,82,623465,"Phillips, Evan",431,19.0,10.0,19,82,0
294,82,640462,"Puk, A.J.",487,16.8,11.0,14,82,0
295,82,606424,"García, Jarlín",404,20.3,9.0,14,82,0
296,82,670036,"Festa, Matthew",372,22.0,6.0,27,82,0
297,81,456034,"Price, David",283,28.6,9.0,18,81,0
298,81,600921,"Machado, Andres",453,17.9,16.0,12,81,0
299,81,642028,"Rogers, Josh",419,19.3,7.0,11,81,0
300,81,681806,"Wantz, Andrew",265,30.6,5.0,24,81,0
301,80,554431,"Matzek, Tyler",202,39.6,5.0,22,80,0
302,80,641712,"Hudson, Dakota",1216,6.6,6.0,15,80,0
303,80,650633,"King, Michael",604,13.2,9.0,27,80,0
304,80,650671,"Quijada, José",161,49.7,6.0,31,80,0
305,80,605194,"Cotton, Jharel",327,24.5,6.0,16,80,0
306,80,656986,"Sousa, Bennett",365,21.9,14.0,13,80,0
307,79,668868,"Thompson, Zack",293,27.0,7.0,9,79,0
308,79,598287,"Ramirez, Noé",509,15.5,6.0,22,79,0
309,79,572971,"Keuchel, Dallas",710,11.1,14.0,19,79,0
310,79,623451,"Stephens, Jackson",421,18.8,6.0,22,79,0
311,79,518553,"Cishek, Steve",556,14.2,7.0,18,79,0
312,78,663158,"Suarez, Robert",399,19.5,7.0,19,78,0
313,78,656794,"Newcomb, Sean",202,38.6,14.0,14,78,0
314,78,641401,"Brogdon, Connor",285,27.4,9.0,25,78,0
315,77,668665,"Nogosek, Stephen",204,37.7,7.0,16,77,0
316,77,664161,"Swarmer, Matt",485,15.9,10.0,11,77,0
317,76,503285,"O'Day, Darren",294,25.9,5.0,27,76,0
318,75,664948,"Misiewicz, Anthony",234,32.1,9.0,15,75,0
319,75,676886,"Beasley, Jeremy",186,40.3,7.0,18,75,0
320,74,656686,"Martin, Corbin",269,27.5,9.0,15,74,0
321,74,663436,"Martin, Davis",353,21.0,10.0,8,74,0
322,73,641302,"Alexander, Tyler",354,20.6,7.0,16,73,0
323,73,621237,"Alvarado, José",359,20.3,3.0,43,73,0
324,73,676714,"Hughes, Brandon",285,25.6,6.0,13,73,0
325,73,663423,"Thornton, Trent",441,16.6,13.0,9,73,0
326,72,657424,"Gage, Matt",142,50.7,2.0,22,72,0
327,72,676831,"Whitley, Kodi",272,26.5,9.0,9,72,0
328,71,594577,"Mayers, Mike",277,25.6,11.0,13,71,0
329,71,572193,"Tepera, Ryan",486,14.6,9.0,9,71,0
330,71,660730,"Rodriguez, Elvin",346,20.5,14.0,7,71,0
331,70,664285,"Valdez, Framber",1325,5.3,5.0,20,70,0
332,70,656457,"Gilbert, Tyler",275,25.5,8.0,18,70,0
333,68,643256,"Cimber, Adam",433,15.7,1.0,19,68,0
334,68,666374,"Brash, Matt",391,17.4,11.0,15,68,0
335,67,669424,"Lambert, Jimmy",286,23.4,7.0,18,67,0
336,66,670124,"Oller, Adam",458,14.4,8.0,20,66,0
337,66,542947,"Bleier, Richard",322,20.5,6.0,7,66,0
338,65,666200,"Luzardo, Jesús",518,12.5,8.0,13,65,0
339,65,489334,"Stammen, Craig",477,13.6,8.0,17,65,0
340,65,642545,"Barría, Jaime",486,13.4,10.0,16,65,0
341,65,666204,"Jiménez, Dany",412,15.8,14.0,9,65,0
342,65,605521,"Warren, Art",430,15.1,11.0,12,65,0
343,65,663465,"Allard, Kolby",204,31.9,10.0,14,65,0
344,64,607455,"Banda, Anthony",376,17.0,12.0,12,64,0
345,64,596133,"Weaver, Luke",195,32.8,14.0,12,64,0
346,64,640444,"Crowe, Wil",766,8.4,4.0,16,64,0
